date,to_aogashima,from_aogashima,max_wind
2022/06/20 (月),〇,,南南西 7.8
2022/06/21 (火),〇,〇,南南西 6.8
2022/06/22 (水),〇,〇,南南西 7.6
2022/06/23 (木),,,南南西 5.5
2022/06/24 (金),〇,〇,南南西 7.6
2022/06/25 (土),〇,〇,南南西 6.8
2022/06/26 (日),,,南南西 5.1
2022/06/27 (月),〇,〇,南南西 5.3
2022/06/28 (火),〇,〇,南西 5.1
2022/06/29 (水),,,南西 5.4
2022/06/30 (木),,,南西 6.1
2022/07/01 (金),〇,〇,西南西 4.6
2022/07/02 (土),〇,〇,
2022/07/03 (日),,,
2022/07/04 (月),〇,〇,東 5.9
2022/07/05 (火),,,南 12.3
2022/07/06 (水),×,×,西 10.3
2022/07/07 (木),,,北東 8.8
2022/07/08 (金),〇,〇,北東 8.1
2022/07/09 (土),〇,〇,南 5.1
2022/07/10 (日),,,南南東 5.9
2022/07/11 (月),〇,〇,北東 4.5
2022/07/12 (火),〇,〇,西南西 4.5
2022/07/13 (水),,,西南西 4.6
2022/07/14 (木),,,北北東 4.7
2022/07/15 (金),〇,〇,南南東 6.2
2022/07/16 (土),,,南南東 9.9
2022/07/17 (日),,,南南東 10.1
2022/07/18 (月),×,×,南南西 6.0
2022/07/19 (火),〇,〇,南南西 7.5
2022/07/20 (水),×,×,南西 7.9
2022/07/21 (木),,,南南東 5.0
2022/07/22 (金),〇,〇,南南西 5.9
2022/07/23 (土),〇,〇,西南西 5.2
2022/07/24 (日),,,南 6.3
2022/07/25 (月),×,×,南南東 7.8
2022/07/26 (火),,,南 8.1
2022/07/27 (水),,,南南東 5.8
2022/07/28 (木),,,南南東 4.4
2022/07/29 (金),〇,〇,南南東 6.5
2022/07/30 (土),×,×,南南東 5.8
2022/07/31 (日),,,南西 4.5
2022/08/01 (月),〇,〇,南西 4.5
2022/08/02 (火),〇,〇,西南西 6.0
2022/08/03 (水),〇,〇,西南西 6.9
2022/08/04 (木),,,西 6.6
2022/08/05 (金),〇,〇,西 6.1
2022/08/06 (土),〇,〇,東北東 4.9
2022/08/07 (日),,,南 4.6
2022/08/08 (月),〇,〇,南 5.2
2022/08/09 (火),〇,〇,南南西 5.1
2022/08/10 (水),,,南 5.8
2022/08/11 (木),,,南南東 7.9
2022/08/12 (金),×,×,南南西 8.4
2022/08/13 (土),×,×,南 9.5
2022/08/14 (日),,,西 7.0
2022/08/15 (月),〇,〇,西南西 6.1
2022/08/16 (火),〇,〇,西南西 6.7
2022/08/17 (水),×,×,西南西 6.8
2022/08/18 (木),,,西 9.4
2022/08/19 (金),〇,〇,西 6.0
2022/08/20 (土),〇,〇,西南西 5.0
2022/08/21 (日),,,西南西 4.3
2022/08/22 (月),〇,〇,北東 4.9
2022/08/23 (火),,,南南東 6.0
2022/08/24 (水),,,西南西 4.1
2022/08/25 (木),,,南西 3.8
2022/08/26 (金),〇,〇,南南東 5.9
2022/08/27 (土),〇,〇,南 5.0
2022/08/28 (日),,,北東 9.1
2022/08/29 (月),〇,〇,北東 9.9
2022/08/30 (火),,,東 7.5
2022/08/31 (水),×,×,南 5.5
2022/09/01 (木),,,南 5.0
2022/09/02 (金),〇,〇,南南東 4.6
2022/09/03 (土),〇,〇,東 5.2
2022/09/04 (日),,,北東 6.3
2022/09/05 (月),×,×,東北東 6.1
2022/09/06 (火),×,×,南南西 4.6
2022/09/07 (水),,,東北東 4.2
